Carimbo de data/hora,Em qual período você ingressou na Universidade?,Selecione abaixo as disciplinas que você já cursou ou está cursando atualmente,Você participou de projeto de disciplina em grupo no regime presencial?,Você participou em projeto de disciplina em grupo no regime remoto?,Qual foi a quantidade de membros do maior projeto em grupo que você participou em disciplinas da Universidade?,"Conflitos sobre prioridades do projeto, ou seja, sobre quais atividades e tarefas devem ser executadas e em que sequência.","Conflitos sobre gerenciamento, ou seja, sobre a definição da hierarquia, das responsabilidades, do plano de execução, do procedimento de comunicação de atividades, etc.","Conflitos sobre questões técnicas, ou seja, sobre quais tecnologias, algoritmos e otimizações utilizar.","Conflito sobre prazos, ou seja, sobre a duração e data de entrega de tarefas do projeto.","Conflitos sobre personalidades, ou seja, centrados nas diferenças interpessoais do grupo.",Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [1º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [2º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [3º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [4º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [5º],"Confronto (Confrontation): reconhecendo que a discordância existe e considerando os requisitos, debater para escolher a solução que mais está de acordo.","Negociação (Give and Take): reconhecendo que a discordância existe, produzir uma solução combinando partes das propostas dos membros envolvidos.","Evasão (Withdrawal): ignorar o problema ou reconhecer que ele existe, mas considerar que não vale o esforço da resolução.","Apaziguamento (Smoothing): reconhecendo que a discordância existe, escolher a solução daqueles mais envolvidos com a tarefa.","Imposição (Forcing): reconhecendo que a discordância existe, um membro de maior hierarquia (ex. gerente) impõe a solução.",Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [1º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [2º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [3º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [4º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [5º]
09/08/2021 18:54:55,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,2,1,4,3,4,Personalidade,Prioridades,Prazos,Gerenciamento,Questões técnicas,4,4,1,2,1,Confronto,Negociação,Apaziguamento,Evasão,Imposição
09/08/2021 19:01:49,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,2,4,1,4,1,Gerenciamento,Prioridades,Prazos,Personalidade,Questões técnicas,5,2,4,4,1,Confronto,Negociação,Apaziguamento,Evasão,Imposição
09/08/2021 19:04:55,2017.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1)",Sim,Sim,6,2,4,1,4,2,Prazos,Gerenciamento,Personalidade,Questões técnicas,Prioridades,2,5,5,5,1,Negociação,Apaziguamento,Confronto,Imposição,Evasão
09/08/2021 19:06:41,2017.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,13,3,4,5,4,5,Questões técnicas,Gerenciamento,Prazos,Personalidade,Prioridades,1,4,5,1,5,Imposição,Evasão,Negociação,Apaziguamento,Confronto
09/08/2021 19:08:13,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,5,3,2,2,3,1,Prioridades,Prazos,Gerenciamento,Personalidade,Questões técnicas,3,5,1,4,1,Negociação,Apaziguamento,Confronto,Evasão,Imposição
09/08/2021 19:09:12,2017.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,3,4,2,1,4,Gerenciamento,Questões técnicas,Prioridades,Prazos,Personalidade,5,4,1,2,1,Negociação,Evasão,Confronto,Apaziguamento,Imposição
09/08/2021 19:09:34,2017.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,5,5,3,2,3,1,Prioridades,Questões técnicas,Gerenciamento,Prazos,Personalidade,3,4,1,4,2,Negociação,Apaziguamento,Confronto,Imposição,Evasão
09/08/2021 19:19:09,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,3,3,4,4,4,Personalidade,Prazos,Questões técnicas,Gerenciamento,Prioridades,4,4,2,5,1,Apaziguamento,Confronto,Negociação,Evasão,Imposição
09/08/2021 19:27:32,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,14,2,1,3,5,2,Questões técnicas,Prazos,Gerenciamento,Prioridades,Personalidade,2,4,3,4,2,Negociação,Apaziguamento,Imposição,Evasão,Confronto
09/08/2021 19:46:38,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,12,4,4,4,3,5,Personalidade,Gerenciamento,Prazos,Prioridades,Questões técnicas,4,4,2,3,4,Negociação,Confronto,Imposição,Apaziguamento,Evasão
